Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
release-youtube-links_x0_100;115782;115782;463050;8;1.1;53760.0;56107.0;66534.0;60691.0
release-youtube-links_x0_200;231565;231565;926158;128;1.03;128001.0;132354.0;181421.0;128645.0
release-youtube-links_x0_200;231565;231565;926158;128;1.05;127765.0;132507.0;181107.0;128865.0
release-youtube-links_x0_200;231565;231565;926158;128;1.1;128967.0;132910.0;181468.0;128518.0
release-youtube-links_x0_200;231565;231565;926158;16;1.03;116558.0;120871.0;151557.0;122753.0
release-youtube-links_x0_200;231565;231565;926158;16;1.05;116195.0;120960.0;152127.0;126370.0
release-youtube-links_x0_200;231565;231565;926158;16;1.1;117044.0;121339.0;151801.0;122929.0
release-youtube-links_x0_200;231565;231565;926158;2;1.03;70919.0;69224.0;71678.0;76227.0
release-youtube-links_x0_200;231565;231565;926158;2;1.05;67203.0;67389.0;70225.0;77180.0
release-youtube-links_x0_200;231565;231565;926158;2;1.1;61665.0;63427.0;65946.0;78311.0
release-youtube-links_x0_200;231565;231565;926158;32;1.03;121904.0;126362.0;164250.0;127239.0
release-youtube-links_x0_200;231565;231565;926158;32;1.05;121625.0;126721.0;165187.0;125148.0
release-youtube-links_x0_200;231565;231565;926158;32;1.1;122006.0;127087.0;164460.0;125520.0
release-youtube-links_x0_200;231565;231565;926158;4;1.03;92206.0;98159.0;109434.0;100132.0
release-youtube-links_x0_200;231565;231565;926158;4;1.05;91834.0;98362.0;108909.0;102103.0
release-youtube-links_x0_200;231565;231565;926158;4;1.1;93754.0;97547.0;106869.0;105416.0
release-youtube-links_x0_200;231565;231565;926158;64;1.03;125546.0;129888.0;174661.0;126152.0
release-youtube-links_x0_200;231565;231565;926158;64;1.05;125260.0;130233.0;174585.0;126984.0
release-youtube-links_x0_200;231565;231565;926158;64;1.1;126491.0;130577.0;173858.0;126603.0
release-youtube-links_x0_200;231565;231565;926158;8;1.03;107270.0;112242.0;134428.0;113637.0
release-youtube-links_x0_200;231565;231565;926158;8;1.05;107015.0;112348.0;134380.0;116312.0
release-youtube-links_x0_200;231565;231565;926158;8;1.1;107547.0;112078.0;133216.0;121363.0
release-youtube-links_x0_25;28945;28945;115666;128;1.03;16242.0;16695.0;22774.0;17959.0
release-youtube-links_x0_25;28945;28945;115666;128;1.05;16225.0;16821.0;22764.0;17985.0
release-youtube-links_x0_25;28945;28945;115666;128;1.1;16237.0;16850.0;22702.0;17950.0
release-youtube-links_x0_25;28945;28945;115666;16;1.03;14572.0;15063.0;18731.0;14948.0
